Open|High|Low|Close|Volume|Adj Close*
692.20|700.65|692.13|699.21|1,342,700|699.21
685.47|692.32|683.65|692.10|1,590,500|692.10
683.00|687.43|681.41|684.11|1,928,500|684.11
678.97|680.33|673.00|680.04|2,116,600|680.04
671.00|672.30|663.28|668.26|2,629,000|668.26
675.17|689.40|673.45|675.22|4,399,800|675.22
697.45|701.95|687.00|701.87|2,157,400|701.87
699.06|700.86|693.08|697.46|1,179,300|697.46
698.40|702.77|692.01|695.94|1,464,300|695.94
698.77|702.48|693.41|693.71|2,071,400|693.71
708.65|708.82|688.45|691.72|3,396,800|691.72
714.91|716.65|703.26|710.36|1,980,200|710.36
719.00|722.98|717.31|718.92|1,208,900|718.92
716.48|722.47|713.12|718.27|1,302,100|718.27
716.51|725.44|716.51|718.36|1,252,800|718.36
719.47|725.89|716.43|719.41|1,206,000|719.41
722.87|729.54|722.34|728.58|985,900|728.58
723.96|728.57|720.58|728.28|1,582,100|728.28
719.84|721.98|716.55|716.65|1,336,200|716.65
724.91|724.91|714.61|716.55|1,565,300|716.55
729.27|729.49|720.56|722.34|1,222,700|722.34
732.50|733.02|724.17|730.40|1,337,600|730.40
734.53|737.21|730.66|734.15|1,250,800|734.15
731.74|739.73|731.26|735.72|2,119,900|735.72
724.01|733.94|724.00|732.66|1,974,000|732.66
722.87|728.33|720.28|724.12|1,542,900|724.12
720.76|727.51|719.71|725.27|1,629,200|725.27
706.86|720.97|706.86|720.09|1,920,400|720.09
706.53|711.48|704.18|704.24|1,320,900|704.24
701.62|714.58|700.52|709.74|1,816,000|709.74
702.36|706.00|696.80|700.32|1,656,300|700.32
703.67|711.60|700.63|706.63|1,763,400|706.63
715.99|721.52|704.11|706.23|1,999,500|706.23
709.13|718.48|705.65|716.49|1,316,200|716.49
711.93|716.66|709.26|710.83|1,307,300|710.83
717.06|719.25|709.00|713.31|1,360,700|713.31
723.41|724.48|712.80|715.29|1,686,800|715.29
716.75|723.50|715.72|723.18|1,563,100|723.18
712.00|718.71|710.00|712.90|1,508,400|712.90
698.38|711.86|698.11|711.12|1,826,100|711.12
697.70|702.32|695.72|701.43|1,677,400|701.43
690.49|699.75|689.01|695.70|1,688,600|695.70
696.87|697.84|692.00|692.36|1,531,000|692.36
697.63|700.64|691.00|698.21|1,644,100|698.21
690.70|697.62|689.00|693.01|2,484,300|693.01
708.26|714.17|689.55|691.02|2,851,100|691.02
707.29|708.98|692.36|705.84|3,086,700|705.84
725.42|725.77|703.03|708.14|2,727,200|708.14
716.10|723.93|715.59|723.15|1,955,600|723.15
726.30|736.12|713.61|718.77|5,939,200|718.77
755.38|760.45|749.55|759.14|2,742,500|759.14
758.00|758.13|750.01|752.67|1,525,600|752.67
769.51|769.90|749.33|753.93|2,027,600|753.93
760.46|768.05|757.30|766.61|1,556,000|766.61
753.98|761.00|752.69|759.00|1,800,400|759.00
754.01|757.31|752.71|753.20|1,131,000|753.20
749.16|754.38|744.26|751.72|1,707,100|751.72
738.00|743.83|731.01|743.09|1,349,700|743.09
743.02|745.00|736.05|736.10|1,211,800|736.10
743.97|745.45|735.55|739.15|1,285,800|739.15
745.37|747.00|736.28|740.28|1,429,500|740.28
735.77|746.24|735.56|745.69|1,050,200|745.69
738.00|742.80|735.37|737.80|1,129,800|737.80
750.06|752.80|742.43|745.29|1,134,200|745.29
738.60|750.34|737.00|749.91|1,574,900|749.91
749.25|750.85|740.94|744.95|1,712,400|744.95
745.37|747.00|736.28|740.28|1,429,500|740.28
735.77|746.24|735.56|745.69|1,050,200|745.69
738.00|742.80|735.37|737.80|1,129,800|737.80
750.06|752.80|742.43|745.29|1,134,200|745.29
738.60|750.34|737.00|749.91|1,574,900|749.91
749.25|750.85|740.94|744.95|1,712,400|744.95
